NAME, QUERY, NDCG, ALPHA-NDCG, TREC, AWRF
MMR_T, 9, 0.23217141882973674, 0.8346883445032822, 0.21655094721356344, 0.9327200923571536
CL, 9, 0.24626023745292086, 0.9458372675473371, 0.14103511333913957, 0.5727076153173212
FR, 9, 0.20435790870464138, 0.8063265242759163, 0.12684379346760252, 0.6206943214071051
BM25, 12, 0.044665973630693495, 0.8152657109210979, 0.026270386585202855, 0.588152108860567
MMR, 12, 0.0432402005348062, 0.8868546471040807, 0.038468407054981224, 0.8896445108763101
MMR_T, 12, 0.0432402005348062, 0.8868546471040807, 0.038468407054981224, 0.8896445108763101
CL, 12, 0.036005705793488794, 0.9207907211181461, 0.02117683179345357, 0.588152108860567
FR, 12, 0.08260589782868914, 0.8549906365040394, 0.05812785054049769, 0.7036767599941248
BM25, 13, 0.5738335535697767, 0.8405975823469872, 0.2868286213823933, 0.49984637461168546
MMR, 13, 0.576796508970493, 0.8600779936588194, 0.48637763220819846, 0.843239556141419
MMR_T, 13, 0.576796508970493, 0.8600779936588194, 0.48637763220819846, 0.843239556141419
CL, 13, 0.49851140051313847, 0.9251338393815015, 0.24917911624908617, 0.49984637461168546
FR, 13, 0.48292072145390064, 0.8050621700067699, 0.29189262637564944, 0.6044317698707683
BM25, 17, 0.22980387963460736, 0.8002571385960323, 0.16864359437035642, 0.7338587783570191
MMR, 17, 0.29020949394687845, 0.8575458139712953, 0.27288259635500556, 0.9402952075887479
MMR_T, 17, 0.29020949394687845, 0.8575458139712953, 0.27288259635500556, 0.9402952075887479
CL, 17, 0.2297467521552398, 0.9141106621481114, 0.13220059602444026, 0.575418780828346
FR, 17, 0.3289481762379818, 0.7883778695429072, 0.24038071947234085, 0.7307555926330302
BM25, 18, 0.9836940396642968, 0.8395114229614185, 0.9267777991554261, 0.9421403015430546
MMR, 18, 0.9817480390694907, 0.8863316132408817, 0.9119877999561429, 0.9289428281624406
MMR_T, 18, 0.9817480390694907, 0.8863316132408817, 0.9119877999561429, 0.9289428281624406
CL, 18, 0.9656057755333689, 0.9125906600213681, 0.8891019283150448, 0.9207711375006369
FR, 18, 0.9666681798831845, 0.7808128686213298, 0.8383074699698106, 0.8672132665741771
BM25, 21, 0.453987986322313, 0.8216191728016959, 0.2844521362170816, 0.6265631355608872
MMR, 21, 0.41230282758387393, 0.8981510847338184, 0.38332603572461066, 0.9297196382836628
MMR_T, 21, 0.41230282758387393, 0.8981510847338184, 0.38332603572461066, 0.9297196382836628
CL, 21, 0.4178802371480265, 0.9438541471130644, 0.2618283516763946, 0.6265631355608872
FR, 21, 0.4708479144412724, 0.798260589233301, 0.3388613340547638, 0.7196832005869044
BM25, 28, 0.183291519801187, 0.6847742861843771, 0.17037995048343968, 0.9295571921071294
MMR, 28, 0.2987201502712867, 0.7924624821010787, 0.278806959701513, 0.93333830827385
MMR_T, 28, 0.2987201502712867, 0.7924624821010787, 0.278806959701513, 0.93333830827385
CL, 28, 0.19066821174503634, 0.9260843841543722, 0.16954550972367008, 0.8892174955224745
FR, 28, 0.1183157319849362, 0.826499933966763, 0.09906932207438551, 0.8373300863066874
BM25, 29, 0.7664442663117285, 0.8165473363272276, 0.4140293986070515, 0.5401950497972117
MMR, 29, 0.7327074213257747, 0.9096695616488936, 0.695738024366932, 0.9495441210463658
MMR_T, 29, 0.7327074213257747, 0.9096695616488936, 0.695738024366932, 0.9495441210463658
CL, 29, 0.7210080196840067, 0.921168464597774, 0.5979893856869499, 0.8293796592568115
FR, 29, 0.3635462805920841, 0.8285929327911539, 0.25076122232935394, 0.6897642355767071
BM25, 31, 0.69051615334321, 0.6154124075210786, 0.5526926033623448, 0.8004050313470912
MMR, 31, 0.6363633467002338, 0.7620545109958186, 0.522740709796614, 0.8214500607352815
MMR_T, 31, 0.6363633467002338, 0.7620545109958186, 0.522740709796614, 0.8214500607352815
CL, 31, 0.5180780792116775, 0.8996739889180627, 0.40371707555743025, 0.7792591343986949
FR, 31, 0.3483132014163631, 0.643576409254808, 0.3168774709724963, 0.9097486678195423
BM25, 37, 0.5165079219463475, 0.7555684568188077, 0.4263105171304177, 0.8253707233065456
MMR, 37, 0.48355295267620096, 0.8288353991917768, 0.4568437575432199, 0.9447646943625092
