NAME, QUERY, NDCG, ALPHA-NDCG, TREC, AWRF
CL, 13, 0.49851140051313847, 0.9251338342495375, 0.24917911624908617, 0.49984637461168546
FR, 13, 0.5441487500039199, 0.7924575982371278, 0.3333836726318447, 0.6364095800438515
BM25, 17, 0.22980387963460736, 0.8026262239016607, 0.16864359437035642, 0.7338587783570191
MMR, 17, 0.29020949394687845, 0.8637789646881225, 0.27288259635500556, 0.9402952075887479
CL, 17, 0.2297467521552398, 0.9239026021096938, 0.13220059602444026, 0.575418780828346
FR, 17, 0.26517158052120715, 0.7798259677150623, 0.3333836726318447, 0.7280194607869417
BM25, 18, 0.9836940396642968, 0.8428694237683263, 0.9267777991554261, 0.9421403015430546
MMR, 18, 0.9817480390694907, 0.8863316116279207, 0.9119877999561429, 0.9289428281624406
CL, 18, 0.9656057755333689, 0.9125906592655878, 0.8891019283150448, 0.9207711375006369
FR, 18, 0.9931355243293296, 0.7896823220638117, 0.3333836726318447, 0.9005449737081435
BM25, 21, 0.453987986322313, 0.8235383441797854, 0.2844521362170816, 0.6265631355608872
MMR, 21, 0.41230282758387393, 0.8981510852724163, 0.38332603572461066, 0.9297196382836628
CL, 21, 0.4178802371480265, 0.9438541475516506, 0.2618283516763946, 0.6265631355608872
FR, 21, 0.4203961222879243, 0.817962503891034, 0.3333836726318447, 0.785391451000187
BM25, 28, 0.183291519801187, 0.6847742866286884, 0.17037995048343968, 0.9295571921071294
MMR, 28, 0.2987201502712867, 0.7924624847912652, 0.278806959701513, 0.93333830827385
CL, 28, 0.19066821174503634, 0.937222801329142, 0.16954550972367008, 0.8892174955224745
FR, 28, 0.12763036060083205, 0.812941980295031, 0.3333836726318447, 0.7600405300345955
BM25, 29, 0.7664442663117285, 0.816547338550076, 0.4140293986070515, 0.5401950497972117
MMR, 29, 0.7327074213257747, 0.9108521296378266, 0.695738024366932, 0.9495441210463658
CL, 29, 0.7210080196840067, 0.927230933667783, 0.5979893856869499, 0.8293796592568115
FR, 29, 0.38018912989181525, 0.8238141016082372, 0.3333836726318447, 0.6398173121288595
BM25, 31, 0.69051615334321, 0.618855182632179, 0.5526926033623448, 0.8004050313470912
MMR, 31, 0.6363633467002338, 0.7620545130326618, 0.522740709796614, 0.8214500607352815
CL, 31, 0.5180780792116775, 0.9143931698726978, 0.40371707555743025, 0.7792591343986949
FR, 31, 0.33716698207684526, 0.645967272173019, 0.3333836726318447, 0.9218395916821576
BM25, 37, 0.5165079219463475, 0.7681301267557801, 0.4263105171304177, 0.8253707233065456
MMR, 37, 0.48355295267620096, 0.843422984350157, 0.4568437575432199, 0.9447646943625092
CL, 37, 0.4775422541025647, 0.9421339670093041, 0.3770081340200768, 0.7894759694690902
FR, 37, 0.505634592382115, 0.8388731875770356, 0.3333836726318447, 0.785184434621122
BM25, 38, 0.7434351500398335, 0.6719289364112261, 0.6359194824945589, 0.8553798975747732
MMR, 38, 0.78817582318921, 0.791337781495164, 0.5931230235728926, 0.7525262842660261
CL, 38, 0.6791310292429862, 0.8979653816894814, 0.5599353582275612, 0.8244879619941825
FR, 38, 0.6764985478514683, 0.7698828789472489, 0.3333836726318447, 0.9279306312740724
BM25, 39, 0.525920695226918, 0.7848661774121012, 0.4747690119230918, 0.9027387897679975
MMR, 39, 0.5064194990336283, 0.8718825001300144, 0.46325957372135423, 0.914774361187447
CL, 39, 0.616895933984021, 0.9083513863314449, 0.5816598156803381, 0.9428815844576541
FR, 39, 0.4801310294411045, 0.7695455983673158, 0.3333836726318447, 0.8369741068821714
BM25, 40, 0.4459262925501888, 0.706102202903405, 0.36723690523138897, 0.8235372333199138
MMR, 40, 0.4424524855969696, 0.8009087588293087, 0.38649498747580263, 0.873528797005926
CL, 40, 0.4156127311657559, 0.913203835838981, 0.3206900679837668, 0.771607903069428
FR, 40, 0.2949380168545285, 0.7567419687377303, 0.3333836726318447, 0.9274795807938752
