"(0, 0.041902855)","(1, 0.08023219)","(2, 0.05095953)","(3, 0.04158999)","(4, 0.035167933)","(5, 0.042351842)","(6, 0.0421743)","(7, 0.05430533)","(8, 0.0499558)","(9, 0.04527652)","(10, 0.03531407)","(11, 0.09148348)","(12, 0.10239764)","(13, 0.04329478)","(14, 0.034292657)","(15, 0.035286587)","(16, 0.054295797)","(17, 0.041618273)","(18, 0.042764973)","(19, 0.03533549)"
"(0, 0.0367848)","(1, 0.0698739)","(2, 0.044694025)","(3, 0.0609976)","(4, 0.036577232)","(5, 0.043949243)","(6, 0.037146807)","(7, 0.084331475)","(8, 0.036739144)","(9, 0.036403596)","(10, 0.03660938)","(11, 0.036753863)","(12, 0.08377752)","(13, 0.03739073)","(14, 0.06386594)","(15, 0.036289375)","(16, 0.036487143)","(17, 0.0703989)","(18, 0.07417416)","(19, 0.036755197)"
"(0, 0.0342667)","(1, 0.09387962)","(2, 0.048426323)","(3, 0.034234386)","(4, 0.04791335)","(5, 0.049871616)","(6, 0.034228098)","(7, 0.09113024)","(8, 0.03423984)","(9, 0.034272444)","(10, 0.047779806)","(11, 0.034254566)","(12, 0.03654732)","(13, 0.03486478)","(14, 0.03425705)","(15, 0.034242403)","(16, 0.056598686)","(17, 0.047849473)","(18, 0.034228694)","(19, 0.13691457)"
"(0, 0.029412594)","(1, 0.0295232)","(2, 0.03079988)","(3, 0.06286311)","(4, 0.030274842)","(5, 0.03127017)","(6, 0.036229987)","(7, 0.029381728)","(8, 0.029511122)","(9, 0.02948413)","(10, 0.029424036)","(11, 0.21871503)","(12, 0.035994083)","(13, 0.029492212)","(14, 0.02949979)","(15, 0.029491825)","(16, 0.029472863)","(17, 0.02952392)","(18, 0.17414051)","(19, 0.05549498)"
"(0, 0.035883304)","(1, 0.03575124)","(2, 0.035763413)","(3, 0.043595336)","(4, 0.09016832)","(5, 0.04330529)","(6, 0.04335458)","(7, 0.081159346)","(8, 0.035746254)","(9, 0.035886213)","(10, 0.10876798)","(11, 0.051260337)","(12, 0.035795063)","(13, 0.042113516)","(14, 0.048866592)","(15, 0.03635683)","(16, 0.051215775)","(17, 0.042326853)","(18, 0.05931129)","(19, 0.043372463)"
"(0, 0.047778063)","(1, 0.09437637)","(2, 0.1746411)","(3, 0.046423957)","(4, 0.07164048)","(5, 0.034485664)","(6, 0.03413279)","(7, 0.03429464)","(8, 0.035697795)","(9, 0.04606668)","(10, 0.034437194)","(11, 0.03435817)","(12, 0.042112533)","(13, 0.034421425)","(14, 0.03444147)","(15, 0.0410481)","(16, 0.034220863)","(17, 0.0356844)","(18, 0.055244226)","(19, 0.03449409)"
"(0, 0.07376401)","(1, 0.060911924)","(2, 0.045304205)","(3, 0.04548481)","(4, 0.063050404)","(5, 0.037683386)","(6, 0.059856966)","(7, 0.039191466)","(8, 0.045308933)","(9, 0.03925882)","(10, 0.04475512)","(11, 0.039130528)","(12, 0.04523462)","(13, 0.04484176)","(14, 0.096065365)","(15, 0.03697937)","(16, 0.05423788)","(17, 0.037484434)","(18, 0.04638536)","(19, 0.045070596)"
"(0, 0.05378798)","(1, 0.045433328)","(2, 0.06056765)","(3, 0.06312491)","(4, 0.05831348)","(5, 0.03721234)","(6, 0.04520124)","(7, 0.045340203)","(8, 0.050473362)","(9, 0.06022963)","(10, 0.03684389)","(11, 0.06446253)","(12, 0.03714977)","(13, 0.03704865)","(14, 0.044107854)","(15, 0.037364263)","(16, 0.07260093)","(17, 0.037009455)","(18, 0.052210566)","(19, 0.06151796)"
"(0, 0.049203727)","(1, 0.24860474)","(2, 0.051627822)","(3, 0.032845695)","(4, 0.038984206)","(5, 0.03285266)","(6, 0.038960624)","(7, 0.032849047)","(8, 0.044555295)","(9, 0.033583704)","(10, 0.032850772)","(11, 0.0343043)","(12, 0.041278075)","(13, 0.058646087)","(14, 0.04163228)","(15, 0.03284722)","(16, 0.039954036)","(17, 0.03284281)","(18, 0.03283935)","(19, 0.04873753)"
"(0, 0.034340218)","(1, 0.14917378)","(2, 0.034276087)","(3, 0.034250185)","(4, 0.070538044)","(5, 0.035011046)","(6, 0.035718873)","(7, 0.034176182)","(8, 0.03425704)","(9, 0.07793346)","(10, 0.051163558)","(11, 0.034015484)","(12, 0.034289792)","(13, 0.08195695)","(14, 0.035012834)","(15, 0.060371067)","(16, 0.034300525)","(17, 0.034305483)","(18, 0.034288045)","(19, 0.0606213)"
"(0, 0.038464118)","(1, 0.056693517)","(2, 0.11028876)","(3, 0.03975821)","(4, 0.039230876)","(5, 0.054299675)","(6, 0.046322905)","(7, 0.05443498)","(8, 0.045673847)","(9, 0.04779307)","(10, 0.03824494)","(11, 0.0462105)","(12, 0.039079446)","(13, 0.05639283)","(14, 0.046134707)","(15, 0.03889291)","(16, 0.047665216)","(17, 0.06609099)","(18, 0.047446672)","(19, 0.040881816)"
"(0, 0.08963717)","(1, 0.04191399)","(2, 0.031755842)","(3, 0.044689212)","(4, 0.031732265)","(5, 0.032416478)","(6, 0.031714212)","(7, 0.15550388)","(8, 0.093991995)","(9, 0.03174138)","(10, 0.032235675)","(11, 0.03307641)","(12, 0.031764414)","(13, 0.031654544)","(14, 0.032292813)","(15, 0.031721734)","(16, 0.1096341)","(17, 0.049126115)","(18, 0.031652253)","(19, 0.031745516)"
"(0, 0.046448924)","(1, 0.039479863)","(2, 0.056208435)","(3, 0.090659454)","(4, 0.066958964)","(5, 0.03930577)","(6, 0.056177042)","(7, 0.039454345)","(8, 0.039430194)","(9, 0.03950266)","(10, 0.046966467)","(11, 0.046571787)","(12, 0.06614)","(13, 0.039482445)","(14, 0.03926248)","(15, 0.040352352)","(16, 0.047611512)","(17, 0.039480876)","(18, 0.04715986)","(19, 0.07334659)"
"(0, 0.037538383)","(1, 0.046665817)","(2, 0.054533783)","(3, 0.036906473)","(4, 0.054993197)","(5, 0.056788664)","(6, 0.03774067)","(7, 0.101407334)","(8, 0.053730283)","(9, 0.037403002)","(10, 0.037143886)","(11, 0.060682192)","(12, 0.038068745)","(13, 0.073406905)","(14, 0.067065544)","(15, 0.05368987)","(16, 0.037992436)","(17, 0.038169894)","(18, 0.037942816)","(19, 0.038130075)"
"(0, 0.035200253)","(1, 0.03519808)","(2, 0.043453246)","(3, 0.044862546)","(4, 0.08620681)","(5, 0.035200868)","(6, 0.043907464)","(7, 0.03518021)","(8, 0.037247874)","(9, 0.043307576)","(10, 0.035190735)","(11, 0.07810932)","(12, 0.05099584)","(13, 0.12886421)","(14, 0.063478544)","(15, 0.035145793)","(16, 0.035085525)","(17, 0.035173766)","(18, 0.06300082)","(19, 0.035190467)"
"(0, 0.07368126)","(1, 0.03791334)","(2, 0.054927085)","(3, 0.03684348)","(4, 0.03697224)","(5, 0.04383836)","(6, 0.07192018)","(7, 0.037014168)","(8, 0.06412831)","(9, 0.06451469)","(10, 0.04828421)","(11, 0.037001934)","(12, 0.03698687)","(13, 0.037005693)","(14, 0.0385165)","(15, 0.07893785)","(16, 0.036854606)","(17, 0.036902275)","(18, 0.036956683)","(19, 0.09080023)"
"(0, 0.026929991)","(1, 0.062405784)","(2, 0.16642526)","(3, 0.02979055)","(4, 0.0684249)","(5, 0.05409458)","(6, 0.20818737)","(7, 0.033197172)","(8, 0.0269499)","(9, 0.039082784)","(10, 0.026924042)","(11, 0.02694962)","(12, 0.026959538)","(13, 0.034214187)","(14, 0.03216491)","(15, 0.027768245)","(16, 0.026935793)","(17, 0.028740335)","(18, 0.026972879)","(19, 0.026882105)"
"(0, 0.07037359)","(1, 0.036359213)","(2, 0.03513603)","(3, 0.044005938)","(4, 0.03662285)","(5, 0.14588204)","(6, 0.03714648)","(7, 0.04411048)","(8, 0.038479794)","(9, 0.035953734)","(10, 0.03648987)","(11, 0.03722179)","(12, 0.084294066)","(13, 0.06065262)","(14, 0.036852784)","(15, 0.049396574)","(16, 0.04141576)","(17, 0.051427584)","(18, 0.03524996)","(19, 0.042928834)"
